name, position, linkedin 
Enrique Lores,President & Chief Executive Officer| Board Director,https://www.linkedin.com/in/enriquelores/
Marie Myers,Chief Financial Officer,https://www.linkedin.com/in/myersmarie/
Harvey Anderson,Chief Legal Officer & Corporate Secretary,https://www.linkedin.com/in/harveyanderson/
Sarabjit Singh Baveja,Chief Strategy & Incubation Officer,https://www.linkedin.com/in/savi-baveja-0576a/
Luciana Broggi,Acting Chief Commercial Officer,https://www.linkedin.com/in/luciana-broggi-0699b7/
Alex Cho,President| Personal Systems,https://www.linkedin.com/in/alex-cho-52324513/
Greg Baxter,Chief Digital & Transformation Officer,https://www.linkedin.com/in/greg-baxter/
Tuan Tran,President of Imaging| Printing & Solutions,https://www.linkedin.com/in/tuantran0/
Santi Morera,President| Personalization & Industrialization Business,https://www.linkedin.com/in/santi-morera-83709913/
Tolga Kurtoglu,Chief Technology Officer & Global Head of HP Labs,https://www.linkedin.com/in/tolga-kurtoglu-ba2a836/
Antoine Simonnet,Chief Supply Chain Officer,https://www.linkedin.com/in/antoine-simonnet-57a1522/
Karen Kahn,Head of Corporate Affairs| Chief Communications Officer,https://www.linkedin.com/in/karenhkahn/
Jami Miscik,Board Director,https://www.linkedin.com/in/vikrant-batra/
Subra Suresh,Board Director,https://www.linkedin.com/in/kristen-ludgate/
