name, position, linkedin 
Patrick Gelsinger,Chief Executive Officer,https://www.linkedin.com/in/patgelsinger/
George S. Davis,Chief Financial Officer| Executive Vice President,https://www.twitter.com/@PGelsinger
Michelle Johnston Holthaus,Executive Vice President; General Manager| Client Computing Group,https://www.linkedin.com/in/michellejohnstonholthaus/
Safroadu Yeboah-Amankwah,Chief Strategy Officer| Senior Vice President,https://www.linkedin.com/in/christy-pambianchi/
Christine Pambianchi,Chief People Officer| Executive Vice President,https://www.linkedin.com/in/sandra-rivera-6a24291/
Sandra Rivera,Executive Vice President| General Manager| Datacenter and AI Group,https://www.linkedin.com/in/archie-deskus-985b332/
Archana Deskus,Chief Information Officer| Senior Vice President,https://www.linkedin.com/in/karenmwalker/
Karen M. Walker,Chief Marketing Officer| Senior Vice President,https://twitter.com/KarMWalker
Greg Lavender,Chief Technology Officer| Senior Vice President|General Manager of Intel Software and Advanced Technology Group,https://www.linkedin.com/in/greglavender/
Navin Shenoy,Executive Vice President and General Manager| Data Platforms Group,https://www.linkedin.com/in/navin-shenoy-9b60097a/
Ann B. Kelleher,Senior Vice President and General Manager of Technology Development,https://www.linkedin.com/in/ann-kelleher-6184b89/
Raja M. Koduri,Senior Vice President| General Manager| Accelerated Computing Systems and Graphics Group,https://www.linkedin.com/in/raja-koduri-3a51611/
Allon Stabinsky,Senior Vice President| Chief Deputy General Counsel| Intel Legal Department,https://www.linkedin.com/in/allon-stabinsky-572944117/
Thomas P. Lantzsch,Senior Vice President| General Manager| Internet of Things Group,https://www.linkedin.com/in/thomas-tom-lantzsch-723426202/
Amnon Shashua,Senior Vice President| President and CEO of Mobileye,https://www.linkedin.com/in/amnon-shashua/
Randhir Thakur,Senior Vice President| President of Intel Foundry Services| Chief Supply Chain Officer,https://www.linkedin.com/in/dr-randhir-thakur-747378/
Nick McKeown,Senior Vice President| General Manager| Network and Edge Group,https://www.linkedin.com/in/nick-mckeown-4902716/
Sunil Shenoy,Senior Vice President| General Manager| Design Engineering Group,https://www.linkedin.com/in/sunil-shenoy-05ab4b7/
Rui Wang,Senior Vice President| Chair of Intel China,https://www.linkedin.com/in/rui-wang-7b4a37/
Keyvan Esfarjani,Executive Vice President; Chief Global Operations Officer| General Manager| Manufacturing| Supply Chain and Operations,https://www.linkedin.com/in/keyvan-esfarjani-3a18024/
Richard A. Uhlig,VP of Technology| Systems Architecture and Client Group| Director of Intel Labs,https://www.linkedin.com/in/richard-uhlig-66156451/
Omar Ishrak,Chairman of the Board,https://www.linkedin.com/in/omar-ishrak/
Jim Goetz,Independent Director,https://www.linkedin.com/in/goetzjim/
Andrea J. Goldsmith,Independent Director,https://twitter.com/jimgoetz
Alyssa Henry,Independent Director,https://www.linkedin.com/in/andrea-goldsmith-02811a7/
Tsu-Jae King Liu,Independent Director,https://www.linkedin.com/in/alyssa-henry-0905692/
Risa Lavizzo-Mourey,Independent Director,https://www.linkedin.com/in/risalavizzo/
Dion J. Weisler,Independent Director,https://www.linkedin.com/in/dion-weisler-4355183/
Frank D. Yeary,Director,https://www.linkedin.com/in/198505/
