,USD,"FY, 2019","FY, 2020","FY, 2021"
0,Revenue,91.6m,156.7m,183.2m
1,"Revenue growth, %",,71%,17%
2,Cost of goods sold,30.4m,38.8m,44.5m
3,Gross profit,61.2m,117.9m,138.7m
4,"Gross profit Margin, %",67%,75%,76%
5,Sales and marketing expense,37.9m,95.0m,97.0m
6,R&D expense,37.3m,64.5m,68.9m
7,General and administrative expense,22.1m,29.9m,33.1m
8,Operating expense total,97.3m,189.4m,199.0m
9,EBIT,(36.0m),(71.5m),(60.3m)
10,"EBIT margin, %",(39%),(46%),(33%)
11,Interest income,3.5m,4.3m,1.3m
12,Pre tax profit,(33.1m),(69.0m),(55.0m)
13,Income tax expense,266.0k,380.0k,704.0k
14,Net Income,(33.3m),(69.4m),(55.7m)
15,EPS,(1.3),(1.9),(0.9)
