,USD,"Q1, 2019","Q2, 2019","Q3, 2019","Q1, 2020","Q2, 2020","Q3, 2020","Q1, 2021","Q2, 2021","Q3, 2021"
0,Cash,3.2b,2.9b,3.9b,11.4b,8.7b,3.4b,5.2b,4.7b,7.9b
1,Accounts Receivable,7.0b,6.2b,6.9b,8.5b,7.4b,7.1b,7.2b,7.5b,8.4b
2,Inventories,7.8b,8.7b,8.6b,9.2b,9.0b,9.3b,8.5b,8.8b,9.8b
3,Current Assets,29.1b,29.2b,30.0b,41.5b,44.4b,36.8b,45.8b,49.4b,61.3b
4,PP&E,50.0b,51.4b,53.6b,56.8b,58.0b,59.2b,57.3b,58.2b,59.7b
5,Goodwill,24.5b,24.6b,24.7b,26.3b,26.9b,27.0b,27.0b,26.8b,26.8b
6,Total Assets,129.5b,130.8b,133.8b,147.7b,152.5b,145.3b,150.6b,154.6b,168.0b
7,Accounts Payable,4.1b,4.7b,4.8b,4.6b,5.0b,5.2b,5.4b,5.9b,6.8b
8,Short-term debt,2.8b,3.7b,5.2b,3.5b,2.3b,504.0m,2.6b,3.7b,4.7b
9,Current Liabilities,18.9b,19.7b,25.1b,23.9b,22.5b,22.1b,24.2b,24.8b,29.6b
10,Long-term debt,25.7b,25.1b,23.7b,36.5b,36.1b,36.1b,33.2b,31.7b,35.6b
11,Total Debt,28.5b,28.8b,28.9b,39.9b,38.3b,36.6b,35.9b,35.4b,40.3b
12,Additional Paid-in Capital,25.3b,25.1b,25.3b,25.3b,25.5b,23.3b,26.3b,26.7b,27.6b
13,Retained Earnings,49.1b,50.4b,49.7b,52.6b,57.6b,52.2b,54.6b,59.6b,63.6b
14,Total Equity,73.7b,74.9b,74.2b,76.4b,82.0b,74.6b,79.8b,85.2b,90.1b
15,Debt to Equity Ratio,0.4 x,0.4 x,0.4 x,0.5 x,0.5 x,0.5 x,0.4 x,0.4 x,0.4 x
16,Debt to Assets Ratio,0.2 x,0.2 x,0.2 x,0.3 x,0.3 x,0.3 x,0.2 x,0.2 x,0.2 x
17,Financial Leverage,1.8 x,1.7 x,1.8 x,1.9 x,1.9 x,1.9 x,1.9 x,1.8 x,1.9 x
