,USD,"Q1, 2021","Q2, 2021","Q3, 2021","Q1, 2022","Q2, 2022","Q3, 2022"
0,Revenue,3.1b,3.9b,4.7b,5.7b,6.5b,7.1b
1,Cost of goods sold,1.1b,1.6b,1.8b,2.0b,2.3b,2.5b
2,Gross profit,2.0b,2.3b,3.0b,3.6b,4.2b,4.6b
3,"Gross profit Margin, %",65%,59%,63%,64%,65%,65%
4,R&D expense,735.0m,997.0m,1.0b,1.2b,1.2b,557.0m
5,General and administrative expense,293.0m,627.0m,515.0m,520.0m,526.0m,1.4b
6,Operating expense total,1.0b,1.6b,1.6b,1.7b,1.8b,2.0b
7,EBIT,976.0m,651.0m,1.4b,2.0b,2.4b,2.7b
8,"EBIT margin, %",32%,17%,30%,35%,38%,38%
9,Interest expense,25.0m,54.0m,53.0m,53.0m,60.0m,62.0m
10,Interest income,31.0m,13.0m,7.0m,6.0m,6.0m,7.0m
11,Pre tax profit,981.0m,609.0m,1.3b,2.0b,2.4b,2.6b
12,Income tax expense,64.0m,(13.0m),12.0m,132.0m,20.0m,174.0m
13,Net Income,917.0m,622.0m,1.3b,1.9b,2.4b,2.5b
14,EPS,1.5,1.0,2.1,3.0,0.9,1.0
