,USD,"FY, 2020","FY, 2021","FY, 2022"
0,Cash,10.9b,847.0m,2.0b
1,Accounts Receivable,1.7b,2.4b,4.7b
2,Inventories,979.0m,1.8b,2.6b
3,Current Assets,13.7b,16.1b,28.8b
4,PP&E,1.7b,2.1b,2.8b
5,Goodwill,618.0m,4.2b,4.3b
6,Total Assets,17.3b,28.8b,44.2b
7,Accounts Payable,687.0m,1.2b,1.8b
8,Short-term debt,,999.0m,
9,Current Liabilities,1.8b,3.9b,4.3b
10,Long-term debt,2.6b,6.6b,11.7b
11,Total Debt,2.6b,7.6b,11.7b
12,Total Liabilities,5.1b,11.9b,17.6b
13,Common Stock,1.0m,1.0m,3.0m
14,Additional Paid-in Capital,7.0b,8.7b,10.4b
15,Retained Earnings,15.0b,18.9b,16.2b
16,Total Equity,12.2b,16.9b,26.6b
17,Debt to Equity Ratio,0.2 x,0.4 x,0.4 x
18,Debt to Assets Ratio,0.1 x,0.3 x,0.3 x
19,Financial Leverage,1.4 x,1.7 x,1.7 x
